id,genre,Popularity,Song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,seconds
3JvKfv6T31zO0ini8iNItO,chill,92.0,Another Love,0.445,0.537,E,-8.532,Minor,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360,4/4,244.36
7otCGmgp9h4CsR2LhwB6gt,chill,71.0,Another Love,0.445,0.537,E,-8.532,Minor,0.04,0.695,1.6e-05,0.0941,0.131,122.764,audio_features,spotify:track:7otCGmgp9h4CsR2LhwB6gt,https://api.spotify.com/v1/tracks/7otCGmgp9h4CsR2LhwB6gt,https://api.spotify.com/v1/audio-analysis/7otCGmgp9h4CsR2LhwB6gt,244360,4/4,244.36
7w4t6sPVdboBZpa5prmUuj,chill,77.0,paranoia,0.47,0.405,G,-13.385,Major,0.3,0.376,0.0127,0.116,0.505,180.104,audio_features,spotify:track:7w4t6sPVdboBZpa5prmUuj,https://api.spotify.com/v1/tracks/7w4t6sPVdboBZpa5prmUuj,https://api.spotify.com/v1/audio-analysis/7w4t6sPVdboBZpa5prmUuj,117408,4/4,117.408
1XTY6rA7XQosc0ynkkE9kN,chill,82.0,Black Friday,0.48,0.199,F#G,-12.398,Major,0.0329,0.931,0.0563,0.0978,0.201,165.476,audio_features,spotify:track:1XTY6rA7XQosc0ynkkE9kN,https://api.spotify.com/v1/tracks/1XTY6rA7XQosc0ynkkE9kN,https://api.spotify.com/v1/audio-analysis/1XTY6rA7XQosc0ynkkE9kN,221510,4/4,221.51
72sfmdpuO5r8cBDgs7MqZZ,chill,80.0,UNDERSTAND,0.379,0.208,F,-13.858,Major,0.0426,0.94,1.05e-06,0.114,0.163,82.085,audio_features,spotify:track:72sfmdpuO5r8cBDgs7MqZZ,https://api.spotify.com/v1/tracks/72sfmdpuO5r8cBDgs7MqZZ,https://api.spotify.com/v1/audio-analysis/72sfmdpuO5r8cBDgs7MqZZ,150520,3/4,150.52
3XOmSRuEEq7rK4XNzWQdyT,chill,75.0,4 Morant (Better Luck Next Time),0.462,0.771,C#D,-2.931,Minor,0.342,0.0537,0.113,0.401,0.482,170.392,audio_features,spotify:track:3XOmSRuEEq7rK4XNzWQdyT,https://api.spotify.com/v1/tracks/3XOmSRuEEq7rK4XNzWQdyT,https://api.spotify.com/v1/audio-analysis/3XOmSRuEEq7rK4XNzWQdyT,171000,4/4,171.0
3CLSHJv5aUROAN2vfOyCOh,chill,81.0,Close Eyes,0.784,0.572,C,-9.853,Major,0.0573,0.0748,0.843,0.139,0.209,96.181,audio_features,spotify:track:3CLSHJv5aUROAN2vfOyCOh,https://api.spotify.com/v1/tracks/3CLSHJv5aUROAN2vfOyCOh,https://api.spotify.com/v1/audio-analysis/3CLSHJv5aUROAN2vfOyCOh,132346,4/4,132.346
2XILilAwcXHdGwZLNHteue,chill,74.0,"Love, of Money",0.371,0.655,C,-9.901,Major,0.0771,0.0526,2.14e-06,0.168,0.855,147.794,audio_features,spotify:track:2XILilAwcXHdGwZLNHteue,https://api.spotify.com/v1/tracks/2XILilAwcXHdGwZLNHteue,https://api.spotify.com/v1/audio-analysis/2XILilAwcXHdGwZLNHteue,64766,4/4,64.766
4o0LyB69tylqDG6eTGhmig,chill,72.0,Fire for You,0.737,0.678,F#G,-7.011,Minor,0.0962,0.114,0.157,0.123,0.698,102.051,audio_features,spotify:track:4o0LyB69tylqDG6eTGhmig,https://api.spotify.com/v1/tracks/4o0LyB69tylqDG6eTGhmig,https://api.spotify.com/v1/audio-analysis/4o0LyB69tylqDG6eTGhmig,231826,4/4,231.826
2bdVgAQgosGUJoViVDNeOV,chill,80.0,LIMBO,0.577,0.366,G#A,-11.792,Major,0.0368,0.879,7.76e-05,0.137,0.0841,129.923,audio_features,spotify:track:2bdVgAQgosGUJoViVDNeOV,https://api.spotify.com/v1/tracks/2bdVgAQgosGUJoViVDNeOV,https://api.spotify.com/v1/audio-analysis/2bdVgAQgosGUJoViVDNeOV,212785,4/4,212.785
7wtU7N6R49UAbzQcLjRy5q,chill,71.0,if god didnt want us to snort worms he wouldn't have made them cylindrical!,0.703,0.743,F,-10.624,Minor,0.0299,0.0694,0.639,0.116,0.349,123.549,audio_features,spotify:track:7wtU7N6R49UAbzQcLjRy5q,https://api.spotify.com/v1/tracks/7wtU7N6R49UAbzQcLjRy5q,https://api.spotify.com/v1/audio-analysis/7wtU7N6R49UAbzQcLjRy5q,58364,4/4,58.364
1Fhb9iJPufNMZSwupsXiRe,chill,75.0,beside you,0.711,0.747,C,-6.335,Major,0.0523,0.459,0.0,0.0957,0.852,136.0,audio_features,spotify:track:1Fhb9iJPufNMZSwupsXiRe,https://api.spotify.com/v1/tracks/1Fhb9iJPufNMZSwupsXiRe,https://api.spotify.com/v1/audio-analysis/1Fhb9iJPufNMZSwupsXiRe,166023,4/4,166.023
2DtUUBwYwEzKMTMDrc5EiO,chill,73.0,girls like me don't cry,0.871,0.372,C,-9.077,Minor,0.0413,0.253,1.6e-06,0.104,0.608,110.011,audio_features,spotify:track:2DtUUBwYwEzKMTMDrc5EiO,https://api.spotify.com/v1/tracks/2DtUUBwYwEzKMTMDrc5EiO,https://api.spotify.com/v1/audio-analysis/2DtUUBwYwEzKMTMDrc5EiO,214387,4/4,214.387
1jrjUPWrfMw8RBbZ9PlX0W,chill,75.0,Highs & Lows,0.718,0.508,C,-8.45,Major,0.0523,0.315,0.0,0.0523,0.638,144.055,audio_features,spotify:track:1jrjUPWrfMw8RBbZ9PlX0W,https://api.spotify.com/v1/tracks/1jrjUPWrfMw8RBbZ9PlX0W,https://api.spotify.com/v1/audio-analysis/1jrjUPWrfMw8RBbZ9PlX0W,124792,4/4,124.792
55XrFge2dEZwYzNl128DwN,chill,74.0,Losing Interest,0.753,0.355,G#A,-13.295,Minor,0.0898,0.48,0.87,0.122,0.506,111.863,audio_features,spotify:track:55XrFge2dEZwYzNl128DwN,https://api.spotify.com/v1/tracks/55XrFge2dEZwYzNl128DwN,https://api.spotify.com/v1/audio-analysis/55XrFge2dEZwYzNl128DwN,120547,4/4,120.547
2HhzV3FY4eZGueF0KpXZUo,chill,74.0,EMPTY DREAMS,0.778,0.782,G,-5.07,Major,0.152,0.5,0.93,0.426,0.446,160.05,audio_features,spotify:track:2HhzV3FY4eZGueF0KpXZUo,https://api.spotify.com/v1/tracks/2HhzV3FY4eZGueF0KpXZUo,https://api.spotify.com/v1/audio-analysis/2HhzV3FY4eZGueF0KpXZUo,135000,4/4,135.0
4V0x90QcMh4ZxwHzEWOdtK,chill,66.0,Feel It All Around,0.34,0.737,G#A,-4.681,Major,0.0582,0.000105,0.762,0.0699,0.499,172.022,audio_features,spotify:track:4V0x90QcMh4ZxwHzEWOdtK,https://api.spotify.com/v1/tracks/4V0x90QcMh4ZxwHzEWOdtK,https://api.spotify.com/v1/audio-analysis/4V0x90QcMh4ZxwHzEWOdtK,192080,4/4,192.08
1LeItUMezKA1HdCHxYICed,chill,66.0,Say My Name,0.749,0.745,F#G,-7.367,Minor,0.0479,0.0041,0.395,0.0748,0.347,115.048,audio_features,spotify:track:1LeItUMezKA1HdCHxYICed,https://api.spotify.com/v1/tracks/1LeItUMezKA1HdCHxYICed,https://api.spotify.com/v1/audio-analysis/1LeItUMezKA1HdCHxYICed,262957,4/4,262.957
